train_name,train_type,status,confidence,matched_by,sample_train_no,train_count,row_count,data_quality_flags
CBE-MAQ INTE,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22610,1,14,{LIKELY_TRUNCATED}
CBE-MAQ PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56323,1,54,{LIKELY_TRUNCATED}
CBE-MAS  SHA,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12244,1,6,{LIKELY_TRUNCATED}
CBE-MAS CHER,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12674,1,9,{LIKELY_TRUNCATED}
CBE-MAS INTE,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12680,1,12,{LIKELY_TRUNCATED}
CBE-MAS KOVA,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12676,1,12,{LIKELY_TRUNCATED}
CBE-MTP PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56146,3,12,{LIKELY_TRUNCATED}
CBE-MV JAN S,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12084,1,10,{LIKELY_TRUNCATED}
CBE-NCJ PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56320,1,46,{LIKELY_TRUNCATED}
CBE-NCJ SUPE,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22668,1,14,{LIKELY_TRUNCATED}
CBE-RMM WKLY,EXPRESS,REVIEW,0.650,NUMBER_RANGE,16618,1,15,{LIKELY_TRUNCATED}
CBE-SA PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,66602,1,22,{ROUTE_CODE_STYLE}
CBE-SRR PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,66605,1,14,{LIKELY_TRUNCATED}
CBE-TCR PASS,PASSENGER,REVIEW,0.600,NUMBER_RANGE,56605,1,20,{LIKELY_TRUNCATED}
CBE-TN LINK,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22670,1,4,{ROUTE_CODE_STYLE}
CBE-TPTY EXP,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22616,1,8,{LIKELY_TRUNCATED}
CBL1,EMU,REVIEW,0.750,NUMBER_RANGE,96201,1,5,{}
CBL2,EMU,REVIEW,0.750,NUMBER_RANGE,96232,1,3,{}
CBY - ANND D,PASSENGER,REVIEW,0.600,NUMBER_RANGE,79414,1,13,{LIKELY_TRUNCATED}
CBY-ANND DMU,PASSENGER,REVIEW,0.600,NUMBER_RANGE,79416,7,91,{LIKELY_TRUNCATED}
CCG DRD EMU,EMU,REVIEW,0.750,NUMBER_RANGE,93025,2,4,{}
