train_name,train_type,status,confidence,matched_by,sample_train_no,train_count,row_count,data_quality_flags
07:46:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
12:16:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
14:15:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
14:54:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
18:46:00,INVALID,INVALID_NAME,0.990,INVALID_PATTERN,K,1,1,{TIME_AS_NAME}
ADB-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7509,1,47,{ROUTE_CODE_STYLE}
AII BDTS SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9621,1,12,{}
AJNI-KRMI SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1119,1,24,{LIKELY_TRUNCATED}
ANVT RNC SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8618,1,15,{LIKELY_TRUNCATED}
ANVT-JSME BI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3502,1,5,{LIKELY_TRUNCATED}
ANVT-UHP EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4401,1,13,{LIKELY_TRUNCATED}
ASN-DHN MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3301,1,13,{LIKELY_TRUNCATED}
ATT-JBP BI-W,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1708,1,17,{LIKELY_TRUNCATED}
AWB-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7505,1,49,{ROUTE_CODE_STYLE}
BAND-SBP WEE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8302,1,15,{LIKELY_TRUNCATED}
BC-LKU SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5309,1,6,{ROUTE_CODE_STYLE}
BCT NDLS BI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9005,1,4,{}
BDTS AII SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9622,1,12,{}
BDTS BKN WEE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9011,1,20,{LIKELY_TRUNCATED}
BDTS GIMB WE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9433,1,14,{LIKELY_TRUNCATED}
BDTS NZM  SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9003,1,5,{LIKELY_TRUNCATED}
BDTS-JBP SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1705,1,14,{ROUTE_CODE_STYLE}
BGM-YPR TATK,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6582,1,85,{LIKELY_TRUNCATED}
BIDAR-PVR,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7517,1,9,{ROUTE_CODE_STYLE}
BJP-UBL SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6920,1,38,{ROUTE_CODE_STYLE}
BJU - SHC EX,UNKNOWN,UNKNOWN,0.100,UNMATCHED,23226,1,11,{LIKELY_TRUNCATED}
BJU-KIR EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,28181,1,14,{ROUTE_CODE_STYLE}
BKN - GHY EX,UNKNOWN,UNKNOWN,0.100,UNMATCHED,25631,1,4,{LIKELY_TRUNCATED}
BKN - HW EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4735,1,17,{LIKELY_TRUNCATED}
BKN BDTS WEE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9012,1,20,{LIKELY_TRUNCATED}
BLS - KGP DE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8035,1,19,{LIKELY_TRUNCATED}
BLS - KGP ME,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8036,1,19,{LIKELY_TRUNCATED}
BNY - GKP SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5062,1,5,{LIKELY_TRUNCATED}
BPL-REWA SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2196,1,10,{ROUTE_CODE_STYLE}
BPQ CAF PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8581,1,2,{LIKELY_TRUNCATED}
BQA-KGP DEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8064,1,16,{LIKELY_TRUNCATED}
BQA-VSU MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8082,1,6,{LIKELY_TRUNCATED}
BSB-SKTN LIN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,23345,1,6,{LIKELY_TRUNCATED}
BSP-KRRBA PA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6648,1,8,{LIKELY_TRUNCATED}
BST-GKP SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5106,1,4,{ROUTE_CODE_STYLE}
BWT-MKM-MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6513,1,6,{LIKELY_TRUNCATED}
BYPL-WFD DEM,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6594,1,4,{LIKELY_TRUNCATED}
BZA-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7213,1,29,{ROUTE_CODE_STYLE}
BZA-SC  SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7758,1,6,{ROUTE_CODE_STYLE}
CAF BPQ SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8582,1,2,{}
CBE-CGL TRI-,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6068,1,9,{LIKELY_TRUNCATED}
CBE-POY PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6081,1,4,{LIKELY_TRUNCATED}
CBP-YPR PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6596,1,7,{LIKELY_TRUNCATED}
CBSA CKP DEM,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8101,1,5,{LIKELY_TRUNCATED}
CCT-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7211,1,36,{ROUTE_CODE_STYLE}
CCT-TPTY,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7431,1,13,{ROUTE_CODE_STYLE}
CCT-TPTY HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7941,1,12,{LIKELY_TRUNCATED}
CGL-CBE TRI-,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6067,1,9,{LIKELY_TRUNCATED}
CGL-MDU SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6065,1,13,{ROUTE_CODE_STYLE}
CKP-CBSA DEM,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8102,1,5,{LIKELY_TRUNCATED}
COA-HYB,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7076,2,31,{ROUTE_CODE_STYLE}
COA-KCG HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7426,1,15,{ROUTE_CODE_STYLE}
COA-VLNK,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7061,1,8,{ROUTE_CODE_STYLE}
CORBETT PARK,UNKNOWN,UNKNOWN,0.100,UNMATCHED,25013,2,6,{LIKELY_TRUNCATED}
CPA-FBD EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5305,1,11,{ROUTE_CODE_STYLE}
CPR-LJN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5065,1,15,{ROUTE_CODE_STYLE}
CSMT-KRMI SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2025,1,7,{LIKELY_TRUNCATED}
CSMT-NGP SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1011,1,18,{ROUTE_CODE_STYLE}
CUR RTGH SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4854,1,6,{LIKELY_TRUNCATED}
DBG-SC,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7008,1,28,{ROUTE_CODE_STYLE}
DHN-ASN MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3302,1,13,{LIKELY_TRUNCATED}
DHN-KUSUNDA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3305,1,2,{ROUTE_CODE_STYLE}
DLI-SVDK SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4409,1,7,{LIKELY_TRUNCATED}
DSJ-KK MTY S,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1442,1,13,{LIKELY_TRUNCATED}
DSJ-PAY EZHI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6412,1,21,{LIKELY_TRUNCATED}
DURG-G PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8872,1,17,{}
ERS-MAS SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6006,1,14,{ROUTE_CODE_STYLE}
ERS-YPR WEEK,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6548,1,13,{LIKELY_TRUNCATED}
FBD- CPA EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5306,1,11,{LIKELY_TRUNCATED}
GAREEB NAWAZ,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5715,2,4,{LIKELY_TRUNCATED}
GHY - BKN EX,UNKNOWN,UNKNOWN,0.100,UNMATCHED,25632,1,4,{LIKELY_TRUNCATED}
GHY - SCL PA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5631,1,10,{LIKELY_TRUNCATED}
GIMB BDTS WE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9434,1,14,{LIKELY_TRUNCATED}
GKP - BNY SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5061,1,5,{LIKELY_TRUNCATED}
GKP-BST SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5105,1,4,{ROUTE_CODE_STYLE}
HMH SGNR PAS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4769,1,10,{LIKELY_TRUNCATED}
HMH-SGNR SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4767,1,10,{LIKELY_TRUNCATED}
HSRA-YPR PAS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6592,1,9,{LIKELY_TRUNCATED}
HTE-PUNE SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2846,1,17,{LIKELY_TRUNCATED}
HW - BKN EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4736,1,17,{LIKELY_TRUNCATED}
HW JU SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4832,1,22,{}
HW-UMB LINK,UNKNOWN,UNKNOWN,0.100,UNMATCHED,24887,1,6,{ROUTE_CODE_STYLE}
HWH RNC SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8627,1,13,{}
HYB-COA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7075,1,17,{ROUTE_CODE_STYLE}
HYB-GNT-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7133,1,39,{ROUTE_CODE_STYLE}
HYB-JP HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2731,1,29,{ROUTE_CODE_STYLE}
HYB-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7109,2,79,{ROUTE_CODE_STYLE}
HYB-RXL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7005,1,34,{ROUTE_CODE_STYLE}
JAT-PTK DEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4992,1,14,{LIKELY_TRUNCATED}
JBP-ATT BI-W,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1707,1,17,{LIKELY_TRUNCATED}
JBP-BDTS SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1706,1,14,{ROUTE_CODE_STYLE}
JBP-PUNE SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1656,1,13,{LIKELY_TRUNCATED}
JBP-SRC SF S,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2191,1,16,{LIKELY_TRUNCATED}
JGM KGP MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8052,1,5,{LIKELY_TRUNCATED}
JGM-KGP BI-W,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8002,1,2,{LIKELY_TRUNCATED}
JGM-KGP MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8018,1,6,{LIKELY_TRUNCATED}
JLWC-KOTA SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5613,1,11,{LIKELY_TRUNCATED}
JMP-SHC SPEC,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5521,1,12,{LIKELY_TRUNCATED}
JP SHM SPL W,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8062,1,24,{LIKELY_TRUNCATED}
JP UDZ SF SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9721,1,12,{LIKELY_TRUNCATED}
JP-HYB SPECI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2732,1,29,{LIKELY_TRUNCATED}
JP-YPR WEEKL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,82654,1,18,{LIKELY_TRUNCATED}
JSME-ANVT BI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3501,1,5,{LIKELY_TRUNCATED}
JU HW SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4831,1,22,{}
KCG--COA HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7425,1,15,{LIKELY_TRUNCATED}
KCG-KJM HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7603,1,14,{ROUTE_CODE_STYLE}
KCG-TATA HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7438,1,28,{LIKELY_TRUNCATED}
KCG-VSKP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7016,1,18,{ROUTE_CODE_STYLE}
KCVL-MAJN S/,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6053,1,14,{LIKELY_TRUNCATED}
KGP JGM MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8051,1,3,{LIKELY_TRUNCATED}
KGP-BQA DEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8063,1,17,{LIKELY_TRUNCATED}
KGP-BQA MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8065,1,17,{LIKELY_TRUNCATED}
KGP-JGM BI-W,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8001,1,2,{LIKELY_TRUNCATED}
KGP-JGM MEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8017,1,6,{LIKELY_TRUNCATED}
KIK-NCR DEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6851,1,3,{LIKELY_TRUNCATED}
KIK-NCR PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6853,1,3,{LIKELY_TRUNCATED}
KIR - SGUJ D,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5719,2,44,{LIKELY_TRUNCATED}
KIR BJU EXPR,UNKNOWN,UNKNOWN,0.100,UNMATCHED,28182,1,14,{LIKELY_TRUNCATED}
KJM-KCG HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7604,1,14,{ROUTE_CODE_STYLE}
KOAA PURI SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3101,1,9,{LIKELY_TRUNCATED}
KOTA - MDS E,UNKNOWN,UNKNOWN,0.100,UNMATCHED,29020,1,8,{LIKELY_TRUNCATED}
KOTA-JLWC SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5614,1,9,{LIKELY_TRUNCATED}
KOTA-NZM DAI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9809,1,11,{LIKELY_TRUNCATED}
KRBA-BSP PAS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6647,1,8,{LIKELY_TRUNCATED}
KRDL-VSKP SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8511,1,12,{LIKELY_TRUNCATED}
KRMI-AJNI SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1120,1,24,{LIKELY_TRUNCATED}
KRMI-CSMT SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2026,1,7,{LIKELY_TRUNCATED}
KRMI-CSMT SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1122,1,14,{LIKELY_TRUNCATED}
KRMR-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7113,1,37,{ROUTE_CODE_STYLE}
KTW-NBD,UNKNOWN,UNKNOWN,0.100,UNMATCHED,24042,1,3,{ROUTE_CODE_STYLE}
KUNCHAN JUNG,UNKNOWN,UNKNOWN,0.100,UNMATCHED,25657,2,74,{LIKELY_TRUNCATED}
KUSUNDA-DHN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3306,1,2,{}
LKU-BC EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5310,1,6,{ROUTE_CODE_STYLE}
LTT-KRMI SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1045,1,11,{LIKELY_TRUNCATED}
LTT-SWV SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1037,1,10,{ROUTE_CODE_STYLE}
MAJN-KCVL S/,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6054,1,14,{LIKELY_TRUNCATED}
MAJN-PUNE WE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1302,1,17,{LIKELY_TRUNCATED}
MAO-NZM WINT,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4419,1,13,{LIKELY_TRUNCATED}
MAS SRC SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2842,1,12,{}
MAS-ERS SUVI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,82631,1,13,{LIKELY_TRUNCATED}
MAS-QLN SPEC,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6041,1,19,{LIKELY_TRUNCATED}
MAS-QLN SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6043,2,37,{ROUTE_CODE_STYLE}
MAS-QLN SUVI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,82635,1,18,{LIKELY_TRUNCATED}
MAS-SRC  EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6058,1,19,{LIKELY_TRUNCATED}
MDU-CGL SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6066,1,13,{ROUTE_CODE_STYLE}
MKM-BAND ONE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6512,1,14,{LIKELY_TRUNCATED}
MKN PBC PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4802,2,5,{LIKELY_TRUNCATED}
MS TEN SUVID,UNKNOWN,UNKNOWN,0.100,UNMATCHED,82601,1,11,{LIKELY_TRUNCATED}
MS-QLN SPL F,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6049,1,19,{LIKELY_TRUNCATED}
MS-TEN SPECI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6001,1,14,{LIKELY_TRUNCATED}
MTD RTGH SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4851,1,21,{LIKELY_TRUNCATED}
MZS - NLP PA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5620,1,20,{LIKELY_TRUNCATED}
NBD-KTW EXPR,UNKNOWN,UNKNOWN,0.100,UNMATCHED,24041,1,3,{LIKELY_TRUNCATED}
NBQ - NJP DE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7526,1,33,{LIKELY_TRUNCATED}
NCR-KIK DEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6852,1,3,{LIKELY_TRUNCATED}
NCR-KIK PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6854,1,3,{LIKELY_TRUNCATED}
NDLS BCT BI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9006,1,4,{}
NED-TPTY HOL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7607,1,19,{LIKELY_TRUNCATED}
NGP-KRMI SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1196,1,26,{LIKELY_TRUNCATED}
NJP - NBQ DE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7525,1,33,{LIKELY_TRUNCATED}
NKE-SGL INTE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,25202,1,6,{LIKELY_TRUNCATED}
NLP - MZS PA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5619,1,20,{LIKELY_TRUNCATED}
NMH - KOTA E,UNKNOWN,UNKNOWN,0.100,UNMATCHED,29019,1,8,{LIKELY_TRUNCATED}
NS-QLN,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7217,1,37,{ROUTE_CODE_STYLE}
NSL-TPTY HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7418,1,33,{LIKELY_TRUNCATED}
NZM  BDTS SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9004,1,5,{LIKELY_TRUNCATED}
NZM-KOTA DAI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9810,1,11,{LIKELY_TRUNCATED}
NZM-MAO WINT,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4420,1,13,{LIKELY_TRUNCATED}
PBC MKN PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4801,1,3,{LIKELY_TRUNCATED}
PDY-SRC SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6010,1,27,{ROUTE_CODE_STYLE}
PGTN-PLNI PA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6769,1,11,{LIKELY_TRUNCATED}
PLJE-SZE MEM,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3308,1,4,{LIKELY_TRUNCATED}
PLNI-PGTN PA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6770,1,11,{LIKELY_TRUNCATED}
PLNI-POY EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2651,1,3,{LIKELY_TRUNCATED}
PNBE-CSMT SU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,82355,1,7,{LIKELY_TRUNCATED}
POY-CBE PASS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6082,1,4,{LIKELY_TRUNCATED}
POY-PLNI EXP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2652,1,3,{LIKELY_TRUNCATED}
PTK-JAT DEMU,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4991,1,14,{LIKELY_TRUNCATED}
PUNE HTE SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2845,1,17,{LIKELY_TRUNCATED}
PUNE-JBP SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1655,1,13,{LIKELY_TRUNCATED}
PUNE-MAJN WE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,1301,1,17,{LIKELY_TRUNCATED}
PUNE-SRC AC,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2821,1,14,{ROUTE_CODE_STYLE}
PURI KOAA SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,3102,1,9,{LIKELY_TRUNCATED}
PURI-SRC WEE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8403,1,9,{LIKELY_TRUNCATED}
PVR-YPR WEEK,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6542,1,14,{LIKELY_TRUNCATED}
QLN- MAS SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6048,1,20,{LIKELY_TRUNCATED}
QLN-BZA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7214,1,30,{ROUTE_CODE_STYLE}
QLN-COA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7212,1,36,{ROUTE_CODE_STYLE}
QLN-GNT-HYB,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7134,1,39,{ROUTE_CODE_STYLE}
QLN-HYB,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7110,2,79,{ROUTE_CODE_STYLE}
QLN-MAS  SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6044,1,19,{LIKELY_TRUNCATED}
QLN-MAS SPEC,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6042,2,39,{LIKELY_TRUNCATED}
QLN-MS  SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,6050,1,20,{ROUTE_CODE_STYLE}
QLN-NS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7218,1,37,{ROUTE_CODE_STYLE}
QLN-VSKP BI-,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8568,1,29,{LIKELY_TRUNCATED}
RAMNAGAR-DLI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,25035,2,6,{LIKELY_TRUNCATED}
REWA-BPL SF,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2195,1,10,{ROUTE_CODE_STYLE}
RJPB-SGRL LI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,23348,1,11,{LIKELY_TRUNCATED}
RJT-SRC SF A,UNKNOWN,UNKNOWN,0.100,UNMATCHED,2833,1,29,{LIKELY_TRUNCATED}
RNC ANVT SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8617,1,15,{LIKELY_TRUNCATED}
RNC HWH  SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8628,1,14,{LIKELY_TRUNCATED}
RTGH CUR SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4853,1,6,{LIKELY_TRUNCATED}
RTGH MTD SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4852,1,21,{LIKELY_TRUNCATED}
RU-CCT,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7645,1,10,{ROUTE_CODE_STYLE}
RXL-HYB,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7006,1,34,{ROUTE_CODE_STYLE}
sabarimalai,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7613,2,77,{}
SBP-BAND WEE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8301,1,15,{LIKELY_TRUNCATED}
SC VSKP SPEC,UNKNOWN,UNKNOWN,0.100,UNMATCHED,8502,1,13,{LIKELY_TRUNCATED}
SC-BZA  SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7757,1,6,{ROUTE_CODE_STYLE}
SC-COA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7436,1,15,{ROUTE_CODE_STYLE}
SC-DBG,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7007,1,27,{ROUTE_CODE_STYLE}
SC-GHY HSP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7149,1,37,{ROUTE_CODE_STYLE}
SC-TPTY,UNKNOWN,UNKNOWN,0.100,UNMATCHED,7429,1,11,{ROUTE_CODE_STYLE}
SCL - GHY PA,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5632,1,10,{LIKELY_TRUNCATED}
SDLP-SGNR SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4771,1,24,{LIKELY_TRUNCATED}
SGL-NKE INTE,UNKNOWN,UNKNOWN,0.100,UNMATCHED,25201,1,6,{LIKELY_TRUNCATED}
SGNR HMH PAS,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4770,1,10,{LIKELY_TRUNCATED}
SGNR SOG SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4773,1,16,{LIKELY_TRUNCATED}
SGNR-HMH SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4768,1,10,{LIKELY_TRUNCATED}
SGNR-SDLP SP,UNKNOWN,UNKNOWN,0.100,UNMATCHED,4772,1,24,{LIKELY_TRUNCATED}
SGNR-SOG SPL,UNKNOWN,UNKNOWN,0.100,UNMATCHED,9761,1,13,{LIKELY_TRUNCATED}
SGRL-PNBE LI,UNKNOWN,UNKNOWN,0.100,UNMATCHED,23347,1,11,{LIKELY_TRUNCATED}
SGUJ - KIR D,UNKNOWN,UNKNOWN,0.100,UNMATCHED,5720,2,44,{LIKELY_TRUNCATED}
